"Parameter Name","Code value","Decode value"
"Branch Info","001","Si Phraya Branch"
"Branch Info","002","Phahurad Branch"
"Branch Info","003","Songwad Branch"
"Branch Info","004","Mercury Ville Chidlom Branch"
"Branch Info","005","Buntudthong Branch"
"Branch Info","006","Chonburi Branch"
"Branch Info","007","Nakhon Ratchasima Branch"
"Branch Info","008","Nakhon Sri Thammarat Branch"
"Branch Info","010","Hat Yai Branch"
"Branch Info","011","Yala Branch"
"Branch Info","012","Ban Bung Branch"
"Branch Info","013","Bang Lamung Branch"
"Branch Info","017","Thanon Sridonchai Chiangmai Branch Branch"
"Branch Info","019","Chachoengsao Branch"
"Branch Info","021","Phuket Branch"
"Branch Info","023","Ubon Ratchathani Branch"
"Branch Info","024","Khon Kaen Branch"
"Branch Info","025","Bobae Branch"
"Branch Info","026","Nonthaburi Branch"
"Branch Info","029","Bangrak Branch"
"Branch Info","030","Samrong Branch"
"Branch Info","031","Phitsanulok Branch"
"Branch Info","036","Anusavaree Chaisamoraphoom Branch"
"Branch Info","037","Saraburi Branch"
"Branch Info","038","Suksawat Branch"
"Branch Info","039","Ladphrao Branch"
"Branch Info","040","Surin Branch"
"Branch Info","041","Lampang Branch"
"Branch Info","042","Nakhon Sawan Branch"
"Branch Info","043","Sukhumvit 25 Branch"
"Branch Info","044","Udon Thani Branch"
"Branch Info","045","Chanthaburi Branch"
"Branch Info","046","Sam Yaek Branch"
"Branch Info","047","Sathon Head Office"
"Branch Info","049","Phra Pinklao Branch"
"Branch Info","050","Rayong Branch"
"Branch Info","051","Klong Toey Branch"
"Branch Info","052","Hua Mark Branch"
"Branch Info","054","Thanon Yaowaraj Branch"
"Branch Info","055","Wongwian  Odean"
"Branch Info","057","Chaengwatana Branch"
"Branch Info","058","Surat Thani Branch"
"Branch Info","060","Seacon Bangkae Branch"
"Branch Info","061","Chiang Rai Branch"
"Branch Info","062","On Nut Branch"
"Branch Info","063","Talad Si Mummuang Branch"
"Branch Info","064","The Mall Bangkapi Branch"
"Branch Info","067","Bangna K.M.2 Branch"
"Branch Info","068","Soi Yoo Dee Branch"
"Branch Info","070","City Complex Branch"
"Branch Info","072","Siam Square Branch"
"Branch Info","073","Thanon Vorachak Branch"
"Branch Info","076","Silom Complex Branch"
"Branch Info","077","Nakhon Pathom Branch"
"Branch Info","079","Phaholyothin K.M.26 Branch"
"Branch Info","080","Had Patong Branch"
