"ApplicationCode","AccountOwner","AccountName","AccountType","EntitlementName","SecondEntitlementName","ThirdEntitlementName","AccountStatus","IsPrivileged","AccountDescription","CreateDate","LastLogin","LastUpdatedDate","AdditionalAttribute","Country"
"IIC","admin","admin","USR","NA","NA","NA","A","N","NA","20190709162815","20240801194029","20190709162815","927#BTOM#ROLE_ADMIN","TH"
"IIC","somkiat-sae","somkiat-sae","USR","NA","NA","NA","A","N","NA","20190715100111","20211006175304","20190715100111","##ROLE_CHECKER","TH"
"IIC","CHECKER1","CHECKER1","USR","NA","NA","NA","A","N","NA","20190715100111","20210308153814","20190715100111","##ROLE_CHECKER","TH"
"IIC","MAKER1","MAKER1","USR","NA","NA","NA","A","N","NA","20190715100111","20210805182332","20210705130755","927#BTS - Project Management#ROLE_IDM_MAKER","TH"
"IIC","T1CCHIM","T1CCHIM","USR","NA","NA","NA","A","N","NA","20190715100111","20201116192300","20210705130814","927#BTOMS#ROLE_BRANCH","TH"
"IIC","churairat","churairat","USR","NA","NA","NA","A","N","NA","20190715100111","20211126185249","20190902085539","047#Sathon Head Office#ROLE_BRANCH","TH"
"IIC","T1TROON","T1TROON","USR","NA","NA","NA","A","N","NA","20190715100111","20230724100915","20190715100111","049#Phra Pinklao Branch#ROLE_BRANCH","TH"
"IIC","T1PLISI","T1PLISI","USR","NA","NA","NA","A","N","NA","20190715100111","20190717152900","20190715100111","047#Sathon Head Office#ROLE_BRANCH","TH"
"IIC","T1CBUAL","T1CBUAL","USR","NA","NA","NA","A","N","NA","20190715100111","20190715100111","20190715100111","047#Sathon Head Office#ROLE_BRANCH","TH"
"IIC","T1SSIMU","T1SSIMU","USR","NA","NA","NA","A","N","NA","20190715100111","20190715100111","20190715100111","046#Sam Yaek Branch#ROLE_BRANCH","TH"
"IIC","T1PSUAC","T1PSUAC","USR","NA","NA","NA","A","N","NA","20190715100111","20190715100111","20190715100111","047#Sathon Head Office#ROLE_BRANCH","TH"
"IIC","T1PKHNA","T1PKHNA","USR","NA","NA","NA","A","N","NA","20190715100111","20200312152624","20190715100111","047#Sathon Head Office#ROLE_BRANCH","TH"
"IIC","T1WDAOS","T1WDAOS","USR","NA","NA","NA","A","N","NA","20190715100111","20190723162716","20190715100111","047#Sathon Head Office#ROLE_BRANCH","TH"
"IIC","T1NTHIR","T1NTHIR","USR","NA","NA","NA","A","N","NA","20190717112116","20240708211050","20230213122206","001#Si Phraya Branch#ROLE_CARD_OPERATIONS","TH"
"IIC","checker","checker","USR","NA","NA","NA","A","N","NA","20190724151935","20240614170008","20190724151935","001#Si Phraya Branch#ROLE_CHECKER","TH"
"IIC","opas-tan","opas-tan","USR","NA","NA","NA","A","N","NA","20190806154616","20201116183128","20190806154616","045#Chanthaburi Branch#ROLE_ITOPER","TH"
"IIC","t9wlili","t9wlili","USR","NA","NA","NA","A","N","NA","20190829131957","20190829134536","20190829131957","##ROLE_BRANCH","TH"
"IIC","ces01","ces01","USR","NA","NA","NA","A","N","NA","20190909113848","20231130122815","20210714170208","047#Sathon Head Office#ROLE_TEST","TH"
"IIC","ces02","ces02","USR","NA","NA","NA","A","N","NA","20190909113936","20210714171931","20190909113936","047#Sathon Head Office#ROLE_CHECKER","TH"
"IIC","t1nsuet","t1nsuet","USR","NA","NA","NA","A","N","NA","20190910162106","NA","20190910162106","003#Songwad Branch#ROLE_BRANCH","TH"
"IIC","rorc01","rorc01","USR","NA","NA","NA","A","N","NA","20190919092108","20190919092444","20190919092108","051#Klong Toey Branch#ROLE_PARAM_ADMIN","TH"
"IIC","t1stanw","t1stanw","USR","NA","NA","NA","A","N","NA","20201112232814","20201125101246","NA","980#Mass & Digital Products#ROLE_MESSENGER","TH"
"IIC","t1sponc","t1sponc","USR","NA","NA","NA","A","N","NA","20201112232814","20201112234035","NA","979#Credit Card Products#ROLE_BRANCH","TH"
"IIC","t1sdaen","t1sdaen","USR","NA","NA","NA","A","N","NA","20201112232814","20201112234048","NA","980#Mass & Digital Products#ROLE_SALES_SUPPORT","TH"
"IIC","t1stril","t1stril","USR","NA","NA","NA","A","N","NA","20201112232814","20220322194426","NA","683#ASD Governance and Process Enhancement#ROLE_SALES_SUPPORT","TH"
"IIC","t1ksabp","t1ksabp","USR","NA","NA","NA","A","N","NA","20210308153729","20210308200752","20210308153729","047#Sathon Head Office#ROLE_BRANCH","TH"
"IIC","maker","maker","USR","NA","NA","NA","A","N","NA","20210805182351","20240614134902","20210805182436","047#Sathon Head Office#ROLE_IDM_MAKER","TH"
"IIC","T1MOBRM","T1MOBRM","USR","NA","NA","NA","A","N","NA","20190717112116","20220112150752","20220112122245","001#Si Phraya Branch#ROLE_MOBILIZED_RM","TH"
"IIC","T1SSUPP","T1SSUPP","USR","NA","NA","NA","A","N","NA","20190717112116","20220112153328","20220112122303","001#Si Phraya Branch#ROLE_SALES_SUPPORT","TH"
"IIC","itoper","itoper","USR","NA","NA","NA","A","N","NA","20220211102500","20220629170334","20220211102500","927#BTS - Project Management#ROLE_ITOPER","TH"
"IIC","branch","branch","USR","NA","NA","NA","A","N","NA","20220223100109","20230531100404","20220223100109","002#Phahurad Branch #ROLE_BRANCH","TH"
"IIC","testuser","testuser","USR","NA","NA","NA","A","N","NA","20220323172207","NA","20220323172207","001#Si Phraya Branch#ROLE_BRANCH","TH"
"IIC","NFT001","NFT001","USR","NA","NA","NA","A","N","NA","20220509112050","NA","NA","499#Dummy Branch#ROLE_BRANCH","TH"
"IIC","t1jkais","t1jkais","USR","NA","NA","NA","A","N","NA","20221216132749","20221216132914","20221216132749","927#BTS - Project Management#ROLE_BRANCH","TH"
"IIC","t1schni","t1schni","USR","NA","NA","NA","A","N","NA","20230317191125","20230904152027","20230317191125","001#Si Phraya Branch#ROLE_BRANCH","TH"
"IIC","t1nthhh","t1nthhh","USR","NA","NA","NA","A","N","NA","20230621170215","NA","20230621170215","001#Si Phraya Branch#ROLE_BRANCH","TH"
"IIC","testtesttest","testtesttest","USR","NA","NA","NA","A","N","NA","20230621170927","NA","20230621170927","001#Si Phraya Branch#ROLE_BRANCH","TH"
"IIC","t1avian","t1avian","USR","NA","NA","NA","A","N","NA","20230720193648","20230914113802","20230720193648","777#Channels Process Management#ROLE_BRANCH","TH"
"IIC","weerachai.l","weerachai.l","USR","NA","NA","NA","A","N","NA","20190709162815","20231003134658","20190709162815","927#BTOM#ROLE_ADMIN","TH"
"TotalCount","39"
